name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Emmanuel Dennis,FWD,Watford,Aston Villa,65,1,1,0,1,44,0,0,0,0,0,0,18.3,62.2,33.4,87.0,True,2021-08-14T14:00:00Z,12
Emmanuel Dennis,FWD,Watford,Burnley,90,0,0,2,0,6,0,0,0,0,0,0,5.0,11.6,16.1,22.0,False,2021-08-21T16:30:00Z,2
Emmanuel Dennis,FWD,Watford,Spurs,90,0,0,1,0,-2,1,0,0,0,0,0,2.5,0.4,2.0,23.0,False,2021-08-29T13:00:00Z,1
Emmanuel Dennis,FWD,Watford,Wolves,90,0,0,2,0,1,1,0,0,0,0,0,1.3,1.4,4.2,7.0,True,2021-09-11T14:00:00Z,1
Emmanuel Dennis,FWD,Watford,Sheffield Utd,72,1,0,1,0,26,0,0,0,0,0,0,7.4,35.2,3.2,36.0,False,2021-09-18T14:00:00Z,6
Emmanuel Dennis,FWD,Watford,Newcastle,74,0,0,1,0,0,1,0,0,0,0,0,8.2,7.8,11.3,63.0,True,2021-09-25T14:00:00Z,1
Emmanuel Dennis,FWD,Watford,Leeds,90,0,0,1,0,3,1,0,0,0,0,0,6.3,6.8,21.2,35.0,False,2021-10-02T14:00:00Z,1
Emmanuel Dennis,FWD,Watford,Liverpool,68,0,0,4,0,5,0,0,0,0,0,0,0.7,1.6,5.5,0.0,True,2021-10-16T11:30:00Z,2
Emmanuel Dennis,FWD,Watford,Fulham,26,1,2,0,0,51,1,0,0,0,0,0,15.4,73.4,40.8,40.0,False,2021-10-23T14:00:00Z,12
Emmanuel Dennis,FWD,Watford,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-30T14:00:00Z,0
Emmanuel Dennis,FWD,Watford,Arsenal,73,0,0,1,0,2,0,0,0,0,0,0,2.0,6.8,1.0,12.0,False,2021-11-07T14:00:00Z,2
Emmanuel Dennis,FWD,Watford,Man Utd,90,1,2,1,0,48,1,0,0,0,0,0,13.2,66.8,23.6,42.0,True,2021-11-20T15:00:00Z,14
Emmanuel Dennis,FWD,Watford,Leicester,70,1,1,4,0,37,0,0,0,0,0,0,12.5,42.6,22.3,60.0,False,2021-11-28T14:00:00Z,10
Emmanuel Dennis,FWD,Watford,Crystal Palace,90,1,0,2,0,36,0,0,0,0,0,0,9.6,45.0,27.5,23.0,True,2021-12-01T19:30:00Z,9
Emmanuel Dennis,FWD,Watford,Man City,90,0,0,3,0,1,0,0,0,0,0,0,5.6,8.6,11.8,36.0,True,2021-12-04T17:30:00Z,2
Emmanuel Dennis,FWD,Watford,Brighton,90,1,0,1,0,28,0,0,0,0,0,0,8.4,39.8,15.4,29.0,False,2021-12-10T20:00:00Z,9
Emmanuel Dennis,FWD,Watford,West Ham,90,1,0,4,0,28,0,0,0,0,0,0,9.7,43.4,7.2,46.0,True,2021-12-28T15:00:00Z,7
Emmanuel Dennis,FWD,Watford,Spurs,45,0,0,0,0,-1,0,0,0,0,0,0,2.3,3.4,0.6,19.0,True,2022-01-01T15:00:00Z,1
Emmanuel Dennis,FWD,Watford,Newcastle,83,0,0,1,0,11,0,0,0,0,0,0,5.2,9.4,22.2,20.0,False,2022-01-15T15:00:00Z,2
Emmanuel Dennis,FWD,Watford,Sheffield Utd,77,0,0,3,0,-5,0,1,0,0,0,0,2.1,0.0,13.2,10.0,True,2022-01-21T20:00:00Z,-1
Emmanuel Dennis,FWD,Watford,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-02-05T18:00:00Z,0
Emmanuel Dennis,FWD,Watford,West Ham,90,0,0,1,0,12,0,0,0,0,0,0,4.6,13.8,16.0,16.0,False,2022-02-08T19:45:00Z,2
Emmanuel Dennis,FWD,Watford,Burnley,90,0,0,2,0,1,1,0,0,0,0,0,1.7,0.4,1.9,15.0,True,2022-02-12T15:00:00Z,1
Emmanuel Dennis,FWD,Watford,Aston Villa,85,1,0,0,1,28,0,0,0,0,0,0,11.2,55.0,14.7,42.0,False,2022-02-19T15:00:00Z,9
Emmanuel Dennis,FWD,Watford,Everton,90,0,0,4,0,-10,0,0,0,0,0,0,4.8,0.0,15.1,35.0,True,2022-02-23T19:30:00Z,2
Emmanuel Dennis,FWD,Watford,Man Utd,90,0,0,0,1,-1,0,0,0,0,0,0,3.5,7.0,2.8,25.0,False,2022-02-26T15:00:00Z,2
Emmanuel Dennis,FWD,Watford,Arsenal,90,0,0,3,0,-1,0,0,0,0,0,0,7.4,4.8,11.5,58.0,True,2022-03-06T14:00:00Z,2
Emmanuel Dennis,FWD,Watford,Wolves,90,0,0,4,0,7,0,0,0,0,0,0,3.0,7.8,2.3,20.0,False,2022-03-10T19:30:00Z,2
Emmanuel Dennis,FWD,Watford,Southampton,86,0,0,1,0,6,0,0,0,0,0,0,3.2,7.0,11.8,13.0,False,2022-03-13T14:00:00Z,2
Emmanuel Dennis,FWD,Watford,Liverpool,12,0,0,1,0,0,0,0,0,0,0,0,0.1,0.0,0.5,0.0,False,2022-04-02T11:30:00Z,1
Emmanuel Dennis,FWD,Watford,Leeds,51,0,0,2,0,4,0,0,0,0,0,0,3.1,11.8,16.7,2.0,True,2022-04-09T14:00:00Z,1
Emmanuel Dennis,FWD,Watford,Brighton,90,1,0,2,0,31,0,0,0,0,0,0,9.7,46.8,11.8,38.0,True,2022-04-16T14:00:00Z,8
Emmanuel Dennis,FWD,Watford,Man City,90,0,1,5,0,23,0,0,0,0,0,0,9.0,38.4,32.4,19.0,False,2022-04-23T14:00:00Z,5
