name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Hassane Kamara,DEF,Watford,Newcastle,90,0,0,1,0,18,0,0,0,0,0,0,4.0,22.6,15.1,2.0,False,2022-01-15T15:00:00Z,2
Hassane Kamara,DEF,Watford,Sheffield Utd,83,0,0,2,0,13,0,0,0,0,0,0,1.0,3.0,3.0,4.0,True,2022-01-21T20:00:00Z,1
Hassane Kamara,DEF,Watford,Chelsea,90,0,0,0,1,33,0,0,0,0,0,0,4.9,25.8,23.6,0.0,False,2022-02-05T18:00:00Z,9
Hassane Kamara,DEF,Watford,West Ham,90,0,0,1,0,26,0,0,0,0,0,0,5.4,35.6,14.9,3.0,False,2022-02-08T19:45:00Z,2
Hassane Kamara,DEF,Watford,Burnley,90,0,0,2,0,2,1,0,0,0,0,0,0.9,8.2,0.8,0.0,True,2022-02-12T15:00:00Z,0
Hassane Kamara,DEF,Watford,Aston Villa,90,0,0,0,1,22,1,0,0,0,0,0,2.0,16.8,1.4,2.0,False,2022-02-19T15:00:00Z,5
Hassane Kamara,DEF,Watford,Everton,90,0,0,4,0,17,0,0,0,0,0,0,3.9,16.4,22.1,0.0,True,2022-02-23T19:30:00Z,0
Hassane Kamara,DEF,Watford,Man Utd,90,0,0,0,1,26,0,0,0,0,0,0,2.1,17.6,0.8,3.0,False,2022-02-26T15:00:00Z,6
Hassane Kamara,DEF,Watford,Arsenal,90,0,0,3,0,19,0,0,0,0,0,0,5.0,28.0,16.1,6.0,True,2022-03-06T14:00:00Z,1
Hassane Kamara,DEF,Watford,Wolves,90,0,0,4,0,16,0,0,0,0,0,0,2.0,18.4,1.4,0.0,False,2022-03-10T19:30:00Z,0
Hassane Kamara,DEF,Watford,Southampton,90,0,0,1,0,15,0,0,0,0,0,0,2.7,15.4,11.1,0.0,False,2022-03-13T14:00:00Z,2
Hassane Kamara,DEF,Watford,Liverpool,90,0,0,2,0,11,0,0,0,0,0,0,3.0,29.0,1.0,0.0,False,2022-04-02T11:30:00Z,1
Hassane Kamara,DEF,Watford,Leeds,90,0,0,3,0,22,0,0,0,0,0,0,3.8,26.8,11.6,0.0,True,2022-04-09T14:00:00Z,1
Hassane Kamara,DEF,Watford,Brighton,90,0,0,2,0,12,1,0,0,0,0,0,4.0,20.4,19.6,0.0,True,2022-04-16T14:00:00Z,0
Hassane Kamara,DEF,Watford,Man City,90,1,0,5,0,22,0,0,0,0,0,0,7.2,48.0,6.6,17.0,False,2022-04-23T14:00:00Z,6
Hassane Kamara,DEF,Watford,Chelsea,90,0,0,2,0,12,0,0,0,0,0,0,1.5,13.2,1.3,0.0,True,2022-04-30T14:00:00Z,1
Hassane Kamara,DEF,Watford,Everton,67,0,0,1,0,-3,0,1,0,0,0,0,0.5,0.0,1.0,8.0,False,2022-05-07T14:00:00Z,-1
Hassane Kamara,DEF,Watford,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-05-11T18:45:00Z,0
Hassane Kamara,DEF,Watford,Leicester,45,0,0,3,0,5,0,0,0,0,0,0,0.8,6.8,1.1,0.0,True,2022-05-15T13:00:00Z,0
Hassane Kamara,DEF,Watford,Crystal Palace,77,0,0,1,0,11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-05-22T15:00:00Z,2
