name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Alexandre Lacazette,FWD,Arsenal,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Alexandre Lacazette,FWD,Arsenal,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Alexandre Lacazette,FWD,Arsenal,Man City,31,0,0,1,0,-1,0,0,0,0,0,0,0.1,1.0,0.3,0.0,False,1,4.0,5.0,-1.0
Alexandre Lacazette,FWD,Arsenal,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,2.0,2.0
Alexandre Lacazette,FWD,Arsenal,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,4.0,2.0,2.0
Alexandre Lacazette,FWD,Arsenal,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,4.0,4.0,0.0
Alexandre Lacazette,FWD,Arsenal,Brighton,18,0,0,0,0,3,0,0,0,0,0,0,0.3,0.8,2.4,0.0,False,1,4.0,2.0,2.0
Alexandre Lacazette,FWD,Arsenal,Crystal Palace,23,1,0,1,0,28,0,0,0,0,0,0,13.1,42.0,26.8,62.0,True,5,4.0,2.0,2.0
Alexandre Lacazette,FWD,Arsenal,Aston Villa,67,0,0,0,1,6,0,0,0,0,0,0,4.3,4.8,28.4,10.0,True,2,4.0,2.0,2.0
Alexandre Lacazette,FWD,Arsenal,Leicester,57,0,0,0,0,2,0,0,0,0,0,0,1.2,1.2,3.2,8.0,False,1,4.0,3.0,1.0
Alexandre Lacazette,FWD,Arsenal,Watford,68,0,0,0,1,3,0,0,0,0,0,0,5.0,7.8,11.5,31.0,True,2,4.0,2.0,2.0
Alexandre Lacazette,FWD,Arsenal,Liverpool,66,0,0,2,0,6,0,0,0,0,0,0,3.3,8.2,24.3,0.0,False,2,4.0,5.0,-1.0
Alexandre Lacazette,FWD,Arsenal,Newcastle,14,0,0,0,0,2,0,0,0,0,0,0,0.8,0.0,0.3,8.0,True,1,4.0,3.0,1.0
Alexandre Lacazette,FWD,Arsenal,Man Utd,11,0,0,0,0,3,0,0,0,0,0,0,0.0,0.2,0.0,0.0,False,1,4.0,4.0,0.0
Alexandre Lacazette,FWD,Arsenal,Everton,84,0,0,1,0,4,0,0,0,0,0,0,0.8,4.0,1.7,2.0,False,2,4.0,2.0,2.0
Alexandre Lacazette,FWD,Arsenal,Southampton,82,1,0,0,1,33,0,0,0,0,0,0,7.3,33.8,12.0,27.0,True,7,4.0,3.0,1.0
Alexandre Lacazette,FWD,Arsenal,West Ham,87,0,1,0,1,10,0,0,0,0,1,0,13.6,45.0,32.0,59.0,True,3,4.0,3.0,1.0
Alexandre Lacazette,FWD,Arsenal,Leeds,90,0,1,1,0,20,0,0,0,0,0,0,11.5,30.4,22.8,62.0,False,5,4.0,2.0,2.0
Alexandre Lacazette,FWD,Arsenal,Norwich,90,1,1,0,1,39,0,0,0,0,0,0,10.0,52.0,20.2,28.0,False,11,4.0,2.0,2.0
Alexandre Lacazette,FWD,Arsenal,Man City,70,0,0,1,0,6,0,0,0,0,0,0,2.6,2.8,11.1,12.0,True,2,4.0,5.0,-1.0
Alexandre Lacazette,FWD,Arsenal,Burnley,90,0,0,0,1,8,0,0,0,0,0,0,7.5,7.4,35.5,32.0,True,2,4.0,2.0,2.0
Alexandre Lacazette,FWD,Arsenal,Wolves,80,0,1,0,1,14,0,0,0,0,0,0,14.1,20.6,23.0,97.0,False,5,4.0,3.0,1.0
Alexandre Lacazette,FWD,Arsenal,Brentford,83,0,1,0,1,15,0,0,0,0,0,0,9.5,16.8,31.3,47.0,True,5,4.0,2.0,2.0
Alexandre Lacazette,FWD,Arsenal,Wolves,90,0,1,1,0,13,0,0,0,0,0,0,14.8,11.2,27.2,110.0,True,5,4.0,3.0,1.0
Alexandre Lacazette,FWD,Arsenal,Watford,79,0,2,1,0,24,0,0,0,0,0,0,7.7,36.8,23.7,16.0,False,8,4.0,2.0,2.0
Alexandre Lacazette,FWD,Arsenal,Leicester,87,1,0,0,1,27,0,0,0,0,0,0,9.0,34.4,6.0,50.0,True,6,4.0,3.0,1.0
Alexandre Lacazette,FWD,Arsenal,Liverpool,79,0,0,2,0,11,0,0,0,0,0,0,3.8,4.4,21.1,12.0,True,2,4.0,5.0,-1.0
Alexandre Lacazette,FWD,Arsenal,Aston Villa,77,0,0,0,1,10,0,0,0,0,0,0,3.8,6.4,1.7,30.0,False,2,4.0,2.0,2.0
Alexandre Lacazette,FWD,Arsenal,Crystal Palace,90,0,0,3,0,-1,0,0,0,0,0,0,1.9,0.0,5.5,17.0,False,2,4.0,2.0,2.0
