name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Rhys Williams,DEF,Liverpool,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Rhys Williams,DEF,Liverpool,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,5.0,-2.0
Rhys Williams,DEF,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Rhys Williams,DEF,Liverpool,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Rhys Williams,DEF,Liverpool,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Rhys Williams,DEF,Liverpool,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Rhys Williams,DEF,Liverpool,Spurs,90,0,0,1,0,14,0,0,0,0,0,0,3.1,16.8,14.5,0.0,True,2,3.0,4.0,-1.0
Rhys Williams,DEF,Liverpool,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Rhys Williams,DEF,Liverpool,West Brom,30,0,0,1,0,3,0,0,0,0,0,0,0.9,4.2,0.7,4.0,True,1,3.0,2.0,1.0
Rhys Williams,DEF,Liverpool,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Rhys Williams,DEF,Liverpool,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Rhys Williams,DEF,Liverpool,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Rhys Williams,DEF,Liverpool,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Rhys Williams,DEF,Liverpool,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Rhys Williams,DEF,Liverpool,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Rhys Williams,DEF,Liverpool,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Rhys Williams,DEF,Liverpool,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Rhys Williams,DEF,Liverpool,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Rhys Williams,DEF,Liverpool,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Rhys Williams,DEF,Liverpool,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Rhys Williams,DEF,Liverpool,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Rhys Williams,DEF,Liverpool,Fulham,90,0,0,1,0,14,0,0,0,0,0,0,2.1,18.8,1.9,0.0,True,2,3.0,2.0,1.0
Rhys Williams,DEF,Liverpool,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Rhys Williams,DEF,Liverpool,Arsenal,6,0,0,0,0,3,0,0,0,0,0,0,0.2,2.2,0.1,0.0,False,1,3.0,4.0,-1.0
Rhys Williams,DEF,Liverpool,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Rhys Williams,DEF,Liverpool,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Rhys Williams,DEF,Liverpool,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Rhys Williams,DEF,Liverpool,Southampton,90,0,0,0,1,31,0,0,0,0,0,0,1.5,14.0,0.7,0.0,True,7,3.0,2.0,1.0
Rhys Williams,DEF,Liverpool,Man Utd,90,0,0,2,0,16,0,0,0,0,0,0,2.4,15.6,0.5,8.0,False,1,3.0,4.0,-1.0
Rhys Williams,DEF,Liverpool,West Brom,83,0,0,1,0,12,0,0,0,0,0,0,2.6,7.6,0.3,18.0,False,2,3.0,2.0,1.0
Rhys Williams,DEF,Liverpool,Burnley,90,0,0,0,1,25,0,0,0,0,0,0,4.3,30.0,10.7,2.0,False,6,3.0,2.0,1.0
Rhys Williams,DEF,Liverpool,Crystal Palace,90,0,0,0,1,17,0,0,0,0,0,0,3.3,2.4,0.4,30.0,True,6,3.0,3.0,0.0
