name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Jack Butland,GK,Crystal Palace,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Jack Butland,GK,Crystal Palace,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Jack Butland,GK,Crystal Palace,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Jack Butland,GK,Crystal Palace,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,5.0,-3.0
Jack Butland,GK,Crystal Palace,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Jack Butland,GK,Crystal Palace,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Jack Butland,GK,Crystal Palace,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Jack Butland,GK,Crystal Palace,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,5.0,-3.0
Jack Butland,GK,Crystal Palace,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Jack Butland,GK,Crystal Palace,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,4.0,-2.0
Jack Butland,GK,Crystal Palace,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,Southampton,90,0,0,2,0,14,0,0,0,2,0,0,2.0,20.2,0.0,0.0,True,1,2.0,3.0,-1.0
Jack Butland,GK,Crystal Palace,Spurs,90,0,0,3,0,15,0,0,0,3,0,0,1.8,17.8,0.0,0.0,False,2,2.0,4.0,-2.0
Jack Butland,GK,Crystal Palace,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,3.0,-1.0
Jack Butland,GK,Crystal Palace,Brighton,90,0,0,1,0,31,0,0,0,4,0,1,5.4,53.6,0.0,0.0,False,11,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,5.0,-3.0
Jack Butland,GK,Crystal Palace,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,Brentford,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,Chelsea,45,0,0,1,0,3,0,0,0,0,0,0,0.3,2.8,0.0,0.0,True,1,2.0,4.0,-2.0
Jack Butland,GK,Crystal Palace,Watford,90,0,0,1,0,7,0,0,0,0,0,0,0.4,3.6,0.0,0.0,False,2,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,Burnley,90,0,0,1,0,11,0,0,0,1,0,0,1.0,9.8,0.0,0.0,True,2,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Jack Butland,GK,Crystal Palace,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,5.0,-3.0
Jack Butland,GK,Crystal Palace,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
Jack Butland,GK,Crystal Palace,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Jack Butland,GK,Crystal Palace,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Jack Butland,GK,Crystal Palace,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,3.0,-1.0
Jack Butland,GK,Crystal Palace,Watford,90,0,0,0,1,23,0,0,0,1,0,0,1.1,10.8,0.0,0.0,True,6,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,Aston Villa,90,0,0,1,0,15,0,0,0,3,0,0,1.7,16.8,0.0,0.0,False,3,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,Everton,90,0,0,3,0,13,0,0,0,3,0,0,2.0,19.6,0.0,0.0,False,2,2.0,2.0,0.0
Jack Butland,GK,Crystal Palace,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,2.0,4.0,-2.0
