name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Jordan Ayew,FWD,Crystal Palace,Crystal Palace,90,0,0,3,0,0,0,0,0,0,0,0,4.6,14.8,11.9,19.0,False,2021-08-14T14:00:00Z,2
Jordan Ayew,FWD,Crystal Palace,Brighton,22,0,0,0,0,1,0,0,0,0,0,0,0.5,0.4,0.7,4.0,True,2021-08-21T14:00:00Z,1
Jordan Ayew,FWD,Crystal Palace,West Ham,90,0,0,2,0,10,0,0,0,0,0,0,3.6,15.2,0.9,20.0,False,2021-08-28T14:00:00Z,2
Jordan Ayew,FWD,Crystal Palace,Spurs,85,0,0,0,1,16,0,0,0,0,0,0,6.4,8.8,29.1,26.0,True,2021-09-11T11:30:00Z,2
Jordan Ayew,FWD,Crystal Palace,Liverpool,90,0,0,3,0,8,0,0,0,0,0,0,6.5,12.0,16.3,37.0,False,2021-09-18T14:00:00Z,2
Jordan Ayew,FWD,Crystal Palace,Burnley,85,0,0,0,1,4,0,0,0,0,0,0,3.3,0.8,15.7,16.0,True,2021-09-27T19:00:00Z,2
Jordan Ayew,FWD,Crystal Palace,Leicester,52,0,0,2,0,0,0,0,0,0,0,0,2.8,0.2,12.6,15.0,True,2021-10-03T13:00:00Z,1
Jordan Ayew,FWD,Crystal Palace,Arsenal,70,0,1,1,0,19,0,0,0,0,0,0,4.5,25.2,12.8,7.0,False,2021-10-18T19:00:00Z,5
Jordan Ayew,FWD,Crystal Palace,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-23T14:00:00Z,0
Jordan Ayew,FWD,Crystal Palace,Man City,64,0,0,0,1,4,1,0,0,0,0,0,1.6,0.0,10.8,6.0,False,2021-10-30T14:00:00Z,1
Jordan Ayew,FWD,Crystal Palace,Wolves,1,0,0,0,0,1,0,0,0,0,0,0,1.9,1.0,0.0,18.0,True,2021-11-06T15:00:00Z,1
Jordan Ayew,FWD,Crystal Palace,Chelsea,57,0,0,3,0,8,0,0,0,0,0,0,4.1,3.2,19.9,18.0,False,2021-11-20T15:00:00Z,1
Jordan Ayew,FWD,Crystal Palace,Aston Villa,3,0,0,0,0,2,0,0,0,0,0,0,0.7,0.0,0.6,7.0,True,2021-11-27T15:00:00Z,1
Jordan Ayew,FWD,Crystal Palace,Leeds,89,0,0,0,1,6,0,0,0,0,0,0,4.4,14.0,17.7,12.0,False,2021-11-30T20:15:00Z,2
Jordan Ayew,FWD,Crystal Palace,Man Utd,83,0,0,1,0,2,0,0,0,0,0,0,2.8,5.0,10.9,12.0,False,2021-12-05T14:00:00Z,2
Jordan Ayew,FWD,Crystal Palace,Fulham,90,0,1,1,0,18,0,0,0,0,0,0,9.2,28.8,37.8,25.0,True,2021-12-12T16:30:00Z,5
Jordan Ayew,FWD,Crystal Palace,Southampton,74,1,0,2,0,31,0,0,0,0,0,0,8.8,42.8,11.7,33.0,True,2021-12-15T19:30:00Z,7
Jordan Ayew,FWD,Crystal Palace,Spurs,90,0,0,3,0,-3,0,0,0,0,0,0,3.6,0.0,6.7,30.0,False,2021-12-26T15:00:00Z,2
Jordan Ayew,FWD,Crystal Palace,Sheffield Utd,90,0,0,0,1,9,0,0,0,0,0,0,4.6,16.8,28.8,0.0,True,2021-12-28T15:00:00Z,2
Jordan Ayew,FWD,Crystal Palace,West Ham,90,0,1,3,0,25,0,0,0,0,0,0,9.8,18.4,42.2,37.0,True,2022-01-01T17:30:00Z,5
Jordan Ayew,FWD,Crystal Palace,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-01-14T20:00:00Z,0
Jordan Ayew,FWD,Crystal Palace,Liverpool,13,0,0,1,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-01-23T14:00:00Z,1
Jordan Ayew,FWD,Crystal Palace,Sheffield Utd,20,0,0,0,0,5,0,0,0,0,0,0,0.8,1.2,7.1,0.0,False,2022-02-09T19:45:00Z,1
Jordan Ayew,FWD,Crystal Palace,Brighton,77,0,0,0,1,7,0,0,0,0,0,0,2.1,4.0,8.8,8.0,False,2022-02-12T15:00:00Z,2
Jordan Ayew,FWD,Crystal Palace,Crystal Palace,84,0,0,0,1,10,0,0,0,0,0,0,1.3,4.6,2.8,6.0,True,2022-02-19T15:00:00Z,2
Jordan Ayew,FWD,Crystal Palace,West Brom,17,0,1,0,0,14,0,0,0,0,0,0,3.5,19.0,14.4,2.0,False,2022-02-23T19:30:00Z,4
Jordan Ayew,FWD,Crystal Palace,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-02-26T15:00:00Z,0
Jordan Ayew,FWD,Crystal Palace,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-03-05T15:00:00Z,0
Jordan Ayew,FWD,Crystal Palace,Man City,25,0,0,0,0,4,0,0,0,0,0,0,0.7,5.8,0.8,0.0,True,2022-03-14T20:00:00Z,1
Jordan Ayew,FWD,Crystal Palace,Arsenal,75,1,0,0,1,34,0,0,0,0,0,0,5.0,38.8,2.0,9.0,True,2022-04-04T19:00:00Z,8
Jordan Ayew,FWD,Crystal Palace,Leicester,90,0,0,2,0,10,0,0,0,0,0,0,5.9,7.0,12.1,40.0,False,2022-04-10T13:00:00Z,2
Jordan Ayew,FWD,Crystal Palace,Newcastle,50,0,0,0,0,1,0,0,0,0,0,0,0.7,3.6,1.7,2.0,False,2022-04-20T18:45:00Z,1
Jordan Ayew,FWD,Crystal Palace,Leeds,66,0,0,0,1,8,0,0,0,0,0,0,1.2,8.6,1.2,2.0,True,2022-04-25T19:00:00Z,2
Jordan Ayew,FWD,Crystal Palace,Southampton,90,0,0,1,0,-1,0,0,0,0,0,0,6.8,9.4,18.0,41.0,False,2022-04-30T14:00:00Z,2
Jordan Ayew,FWD,Crystal Palace,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-05-07T14:00:00Z,0
Jordan Ayew,FWD,Crystal Palace,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-05-15T13:00:00Z,0
Jordan Ayew,FWD,Crystal Palace,Fulham,90,1,0,3,0,25,1,0,0,0,0,0,8.4,39.8,5.3,39.0,False,2022-05-19T18:45:00Z,5
Jordan Ayew,FWD,Crystal Palace,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-05-22T15:00:00Z,0
