name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Morgan Sanson,MID,Aston Villa,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,2.0,1.0
Morgan Sanson,MID,Aston Villa,West Ham,10,0,0,1,0,3,0,0,0,0,0,0,0.1,0.6,0.4,0.0,True,1,3.0,4.0,-1.0
Morgan Sanson,MID,Aston Villa,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Morgan Sanson,MID,Aston Villa,Brighton,14,0,0,0,0,-2,1,0,0,0,0,0,0.1,0.0,0.5,2.0,False,0,3.0,3.0,0.0
Morgan Sanson,MID,Aston Villa,Leicester,9,0,0,0,0,2,0,0,0,0,0,0,0.2,0.0,0.3,3.0,True,1,3.0,4.0,-1.0
Morgan Sanson,MID,Aston Villa,Leeds,11,0,0,0,0,5,0,0,0,0,0,0,0.4,3.4,0.2,0.0,False,1,3.0,3.0,0.0
Morgan Sanson,MID,Aston Villa,Sheffield Utd,22,0,0,0,0,3,0,0,0,0,0,0,0.4,2.0,1.8,0.0,False,1,3.0,2.0,1.0
Morgan Sanson,MID,Aston Villa,Wolves,60,0,0,0,1,5,1,0,0,0,0,0,0.8,5.6,2.1,0.0,True,2,3.0,3.0,0.0
Morgan Sanson,MID,Aston Villa,Newcastle,31,0,0,1,0,0,1,0,0,0,0,0,0.1,0.0,1.6,0.0,False,0,3.0,2.0,1.0
Morgan Sanson,MID,Aston Villa,Spurs,65,0,0,1,0,5,0,0,0,0,0,0,2.8,7.6,18.2,2.0,True,2,3.0,4.0,-1.0
Morgan Sanson,MID,Aston Villa,Fulham,66,0,0,1,0,8,0,0,0,0,0,0,1.3,6.6,3.7,3.0,True,2,3.0,2.0,1.0
Morgan Sanson,MID,Aston Villa,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Morgan Sanson,MID,Aston Villa,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,5.0,-2.0
Morgan Sanson,MID,Aston Villa,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,2.0,1.0
Morgan Sanson,MID,Aston Villa,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Morgan Sanson,MID,Aston Villa,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
Morgan Sanson,MID,Aston Villa,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,3.0,0.0
Morgan Sanson,MID,Aston Villa,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,3.0,0.0
Morgan Sanson,MID,Aston Villa,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,3.0,4.0,-1.0
Morgan Sanson,MID,Aston Villa,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,0,3.0,4.0,-1.0
