name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Moussa Sissoko,MID,Watford,Newcastle,90,0,0,1,0,0,1,0,0,0,0,0,2.1,12.0,2.8,6.0,False,2022-01-15T15:00:00Z,1
Moussa Sissoko,MID,Watford,Sheffield Utd,90,0,0,3,0,6,0,0,0,0,0,0,3.9,4.0,23.3,12.0,True,2022-01-21T20:00:00Z,2
Moussa Sissoko,MID,Watford,Chelsea,90,0,0,0,1,14,0,0,0,0,0,0,3.8,22.6,15.1,0.0,False,2022-02-05T18:00:00Z,3
Moussa Sissoko,MID,Watford,West Ham,90,0,0,1,0,15,0,0,0,0,0,0,4.3,15.2,26.9,1.0,False,2022-02-08T19:45:00Z,2
Moussa Sissoko,MID,Watford,Burnley,90,0,0,2,0,8,0,0,0,0,0,0,4.0,16.6,22.9,0.0,True,2022-02-12T15:00:00Z,2
Moussa Sissoko,MID,Watford,Aston Villa,90,0,0,0,1,10,0,0,0,0,0,0,3.1,25.2,1.7,4.0,False,2022-02-19T15:00:00Z,3
Moussa Sissoko,MID,Watford,Everton,90,1,0,4,0,22,0,0,0,0,0,0,9.1,41.2,17.1,33.0,True,2022-02-23T19:30:00Z,7
Moussa Sissoko,MID,Watford,Man Utd,90,0,0,0,1,18,0,0,0,0,0,0,4.7,27.0,17.9,2.0,False,2022-02-26T15:00:00Z,3
Moussa Sissoko,MID,Watford,Arsenal,90,1,0,3,0,26,0,0,0,0,0,0,11.7,46.6,32.8,38.0,True,2022-03-06T14:00:00Z,7
Moussa Sissoko,MID,Watford,Wolves,90,0,0,4,0,16,0,0,0,0,0,0,4.7,8.2,38.8,0.0,False,2022-03-10T19:30:00Z,2
Moussa Sissoko,MID,Watford,Southampton,90,0,0,1,0,17,1,0,0,0,0,0,3.9,19.4,19.5,0.0,False,2022-03-13T14:00:00Z,1
Moussa Sissoko,MID,Watford,Liverpool,90,0,0,2,0,7,0,0,0,0,0,0,2.4,8.8,14.9,0.0,False,2022-04-02T11:30:00Z,2
Moussa Sissoko,MID,Watford,Leeds,90,0,0,3,0,-2,1,0,0,0,0,0,6.9,14.8,14.8,39.0,True,2022-04-09T14:00:00Z,1
Moussa Sissoko,MID,Watford,Brighton,90,0,0,2,0,15,0,0,0,0,0,0,4.5,12.6,26.5,6.0,True,2022-04-16T14:00:00Z,2
Moussa Sissoko,MID,Watford,Man City,90,0,0,5,0,9,0,0,0,0,0,0,4.1,16.0,5.3,20.0,False,2022-04-23T14:00:00Z,2
Moussa Sissoko,MID,Watford,Chelsea,90,0,0,2,0,11,0,0,0,0,0,0,2.8,10.8,15.6,2.0,True,2022-04-30T14:00:00Z,2
Moussa Sissoko,MID,Watford,Everton,90,0,0,1,0,5,0,0,0,0,0,0,4.9,14.6,1.4,33.0,False,2022-05-07T14:00:00Z,2
Moussa Sissoko,MID,Watford,Fulham,90,0,0,0,1,15,0,0,0,0,0,0,2.5,17.0,3.7,4.0,True,2022-05-11T18:45:00Z,3
Moussa Sissoko,MID,Watford,Leicester,90,0,0,5,0,17,0,0,0,0,0,0,3.0,10.4,13.6,6.0,True,2022-05-15T13:00:00Z,2
Moussa Sissoko,MID,Watford,Crystal Palace,90,0,0,2,0,-1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-05-22T15:00:00Z,2
