name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Ben Mee,DEF,Burnley,Burnley,90,0,0,2,0,8,0,0,0,0,0,0,1.7,9.6,0.8,7.0,True,2021-08-14T14:00:00Z,1
Ben Mee,DEF,Burnley,Liverpool,90,0,0,2,0,6,0,0,0,0,0,0,2.3,18.2,0.3,4.0,False,2021-08-21T11:30:00Z,1
Ben Mee,DEF,Burnley,Leeds,90,0,0,1,0,9,1,0,0,0,0,0,4.5,17.2,10.2,18.0,True,2021-08-29T13:00:00Z,1
Ben Mee,DEF,Burnley,Fulham,90,1,0,3,0,20,0,0,0,0,0,0,7.3,48.4,0.1,24.0,False,2021-09-13T19:00:00Z,7
Ben Mee,DEF,Burnley,Arsenal,90,0,0,1,0,10,0,0,0,0,0,0,3.4,6.6,10.8,17.0,True,2021-09-18T14:00:00Z,2
Ben Mee,DEF,Burnley,Leicester,90,0,0,2,0,9,0,0,0,0,0,0,1.8,15.2,0.4,2.0,False,2021-09-25T14:00:00Z,1
Ben Mee,DEF,Burnley,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-10-02T14:00:00Z,0
Ben Mee,DEF,Burnley,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-16T14:00:00Z,0
Ben Mee,DEF,Burnley,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-10-23T14:00:00Z,0
Ben Mee,DEF,Burnley,Brighton,90,0,0,1,0,9,0,0,0,0,0,0,2.4,17.6,0.3,6.0,True,2021-10-30T14:00:00Z,2
Ben Mee,DEF,Burnley,Crystal Palace,90,0,0,1,0,14,0,0,0,0,0,0,2.1,20.8,0.0,0.0,False,2021-11-06T15:00:00Z,2
Ben Mee,DEF,Burnley,Everton,90,1,0,3,0,23,0,0,0,0,0,0,8.9,46.6,1.5,41.0,True,2021-11-20T15:00:00Z,7
Ben Mee,DEF,Burnley,Wolves,90,0,0,0,1,19,1,0,0,0,0,0,2.1,21.0,0.2,0.0,False,2021-12-01T19:30:00Z,5
Ben Mee,DEF,Burnley,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-04T15:00:00Z,0
Ben Mee,DEF,Burnley,West Ham,90,0,0,0,1,19,1,0,0,0,0,0,3.1,31.0,0.3,0.0,True,2021-12-12T14:00:00Z,5
Ben Mee,DEF,Burnley,Man Utd,90,0,0,3,0,9,0,0,1,0,0,0,2.4,15.8,0.8,7.0,False,2021-12-30T20:15:00Z,-1
Ben Mee,DEF,Burnley,Leeds,90,0,0,3,0,14,0,0,0,0,0,0,2.5,24.8,0.5,0.0,False,2022-01-02T14:00:00Z,1
Ben Mee,DEF,Burnley,Arsenal,90,0,0,0,1,23,0,0,0,0,0,0,5.5,22.8,10.2,22.0,False,2022-01-23T14:00:00Z,6
Ben Mee,DEF,Burnley,West Brom,90,0,0,0,1,23,0,0,0,0,0,0,2.5,18.0,1.0,6.0,True,2022-02-05T18:00:00Z,6
Ben Mee,DEF,Burnley,Man Utd,90,0,0,1,0,9,0,0,0,0,0,0,2.3,22.4,0.4,0.0,True,2022-02-08T20:00:00Z,2
Ben Mee,DEF,Burnley,Liverpool,90,0,0,1,0,20,0,0,0,0,0,0,3.1,14.6,10.1,6.0,True,2022-02-13T14:00:00Z,2
Ben Mee,DEF,Burnley,Burnley,90,0,0,0,1,21,0,0,0,0,0,0,1.8,17.8,0.3,0.0,False,2022-02-19T15:00:00Z,6
Ben Mee,DEF,Burnley,Spurs,90,1,0,0,1,42,0,0,0,0,0,0,13.2,51.2,14.7,66.0,True,2022-02-23T19:30:00Z,15
Ben Mee,DEF,Burnley,Everton,90,0,0,1,0,12,0,0,0,0,0,0,2.4,15.6,0.4,8.0,False,2022-02-26T15:00:00Z,2
Ben Mee,DEF,Burnley,Leicester,39,0,0,0,0,6,0,0,0,0,0,0,1.3,8.6,0.1,4.0,True,2022-03-01T19:45:00Z,1
Ben Mee,DEF,Burnley,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-03-05T15:00:00Z,0
Ben Mee,DEF,Burnley,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-03-12T15:00:00Z,0
Ben Mee,DEF,Burnley,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-04-02T14:00:00Z,0
Ben Mee,DEF,Burnley,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-04-06T18:30:00Z,0
Ben Mee,DEF,Burnley,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-04-10T13:00:00Z,0
Ben Mee,DEF,Burnley,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-04-17T13:15:00Z,0
Ben Mee,DEF,Burnley,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-04-21T18:45:00Z,0
Ben Mee,DEF,Burnley,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-04-24T13:00:00Z,0
Ben Mee,DEF,Burnley,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-04-30T14:00:00Z,0
