name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
William Troost-Ekong,DEF,Watford,Aston Villa,90,0,0,2,0,11,0,0,0,0,0,0,0.8,7.8,0.0,0.0,True,2021-08-14T14:00:00Z,1
William Troost-Ekong,DEF,Watford,Burnley,90,0,0,2,0,19,0,0,0,0,0,0,3.3,28.2,1.0,4.0,False,2021-08-21T16:30:00Z,1
William Troost-Ekong,DEF,Watford,Spurs,90,0,0,1,0,12,0,0,0,0,0,0,1.2,11.8,0.3,0.0,False,2021-08-29T13:00:00Z,2
William Troost-Ekong,DEF,Watford,Wolves,90,0,0,2,0,14,0,0,0,0,0,0,1.6,15.4,0.4,0.0,True,2021-09-11T14:00:00Z,1
William Troost-Ekong,DEF,Watford,Sheffield Utd,90,0,0,1,0,19,0,0,0,0,0,0,2.5,20.8,0.3,4.0,False,2021-09-18T14:00:00Z,2
William Troost-Ekong,DEF,Watford,Newcastle,90,0,0,1,0,8,1,0,0,0,0,0,1.6,14.0,0.6,1.0,True,2021-09-25T14:00:00Z,1
William Troost-Ekong,DEF,Watford,Leeds,90,0,0,1,0,12,0,0,0,0,0,0,4.7,34.8,10.4,2.0,False,2021-10-02T14:00:00Z,2
William Troost-Ekong,DEF,Watford,Liverpool,90,0,0,5,0,10,0,0,0,0,0,0,2.3,22.2,0.4,0.0,True,2021-10-16T11:30:00Z,0
William Troost-Ekong,DEF,Watford,Fulham,90,0,0,2,0,10,1,0,0,0,0,0,2.4,23.8,0.2,0.0,False,2021-10-23T14:00:00Z,0
William Troost-Ekong,DEF,Watford,Southampton,90,0,0,1,0,13,0,0,0,0,0,0,1.4,14.0,0.2,0.0,True,2021-10-30T14:00:00Z,2
William Troost-Ekong,DEF,Watford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-11-07T14:00:00Z,0
William Troost-Ekong,DEF,Watford,Man Utd,26,0,0,0,0,3,0,0,0,0,0,0,0.0,0.2,0.0,0.0,True,2021-11-20T15:00:00Z,1
William Troost-Ekong,DEF,Watford,Leicester,90,0,0,4,0,8,0,0,0,0,0,0,0.7,2.6,0.1,4.0,False,2021-11-28T14:00:00Z,0
William Troost-Ekong,DEF,Watford,Crystal Palace,90,0,0,2,0,2,1,0,0,0,0,0,0.5,3.0,0.1,2.0,True,2021-12-01T19:30:00Z,0
William Troost-Ekong,DEF,Watford,Man City,90,0,0,3,0,9,0,0,0,0,0,0,2.0,20.2,0.1,0.0,True,2021-12-04T17:30:00Z,1
William Troost-Ekong,DEF,Watford,Brighton,90,0,0,2,0,8,0,0,0,0,0,0,1.6,15.8,0.0,0.0,False,2021-12-10T20:00:00Z,1
William Troost-Ekong,DEF,Watford,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-28T15:00:00Z,0
William Troost-Ekong,DEF,Watford,Spurs,90,0,0,1,0,10,0,0,0,0,0,0,1.6,16.4,0.0,0.0,True,2022-01-01T15:00:00Z,2
William Troost-Ekong,DEF,Watford,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-01-15T15:00:00Z,0
William Troost-Ekong,DEF,Watford,Sheffield Utd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-01-21T20:00:00Z,0
