name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,total_points,team_difficulty,opponent_difficulty,matchup_difficulty
Teemu Pukki,FWD,Norwich,Liverpool,76,0,0,3,0,0,0,0,0,0,0,0,2.3,3.6,2.5,17.0,True,2,2.0,5.0,-3.0
Teemu Pukki,FWD,Norwich,Man City,76,0,0,4,0,5,0,0,0,0,0,0,0.3,2.2,0.3,0.0,False,2,2.0,5.0,-3.0
Teemu Pukki,FWD,Norwich,Leicester,72,1,0,1,0,26,0,0,0,0,0,0,8.3,36.2,11.0,36.0,True,7,2.0,3.0,-1.0
Teemu Pukki,FWD,Norwich,Arsenal,90,0,0,1,0,4,0,0,0,0,0,0,6.7,1.4,1.1,64.0,False,2,2.0,4.0,-2.0
Teemu Pukki,FWD,Norwich,Watford,90,1,0,3,0,26,0,0,0,0,0,0,8.5,32.4,11.3,41.0,True,6,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,Everton,90,0,0,2,0,8,0,0,0,0,0,0,4.2,4.4,15.8,22.0,False,2,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,Burnley,79,0,0,0,1,7,0,0,0,0,0,0,4.3,4.8,12.4,26.0,False,2,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,Brighton,89,0,0,0,1,0,1,0,0,0,0,0,3.3,0.0,2.5,31.0,True,1,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,Chelsea,90,0,0,7,0,8,0,0,0,0,0,0,2.0,3.2,16.3,0.0,False,2,2.0,4.0,-2.0
Teemu Pukki,FWD,Norwich,Leeds,90,0,0,2,0,6,0,0,0,0,0,0,0.5,0.4,1.3,3.0,True,2,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,Brentford,77,1,0,1,0,26,0,0,0,0,0,0,6.0,29.0,1.6,29.0,False,9,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,Southampton,90,1,0,1,0,31,0,0,0,0,0,0,9.6,38.2,1.5,56.0,True,8,2.0,3.0,-1.0
Teemu Pukki,FWD,Norwich,Wolves,90,0,0,0,1,3,0,0,0,0,0,0,10.4,8.4,13.6,82.0,True,2,2.0,3.0,-1.0
Teemu Pukki,FWD,Norwich,Newcastle,90,1,0,1,0,24,0,0,0,0,0,0,7.4,31.2,11.4,31.0,False,8,2.0,3.0,-1.0
Teemu Pukki,FWD,Norwich,Spurs,90,0,0,3,0,6,1,0,0,0,0,0,4.8,5.0,14.0,29.0,False,1,2.0,4.0,-2.0
Teemu Pukki,FWD,Norwich,Man Utd,90,0,0,1,0,7,0,0,0,0,0,0,6.3,5.6,12.3,45.0,True,2,2.0,4.0,-2.0
Teemu Pukki,FWD,Norwich,Aston Villa,90,0,0,2,0,3,0,0,0,0,0,0,0.6,0.0,0.8,6.0,True,2,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,Arsenal,90,0,0,5,0,-3,0,0,0,0,0,0,1.2,0.4,11.8,0.0,True,2,2.0,4.0,-2.0
Teemu Pukki,FWD,Norwich,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,0,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,West Ham,90,0,0,2,0,9,0,0,0,0,0,0,4.6,8.8,28.9,8.0,False,2,2.0,3.0,-1.0
Teemu Pukki,FWD,Norwich,Everton,90,0,0,1,0,0,1,0,0,0,0,0,0.5,1.8,1.6,2.0,True,1,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,Watford,86,0,1,0,1,21,0,0,0,0,0,0,4.9,20.4,24.3,4.0,False,5,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,Crystal Palace,90,1,0,1,0,28,0,0,0,0,0,0,7.1,34.0,0.3,37.0,True,9,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,Man City,90,0,0,4,0,3,0,0,0,0,0,0,2.7,4.2,2.2,21.0,True,2,2.0,5.0,-3.0
Teemu Pukki,FWD,Norwich,Liverpool,90,0,0,3,0,-1,0,0,0,0,0,0,2.0,0.0,1.8,20.0,False,2,2.0,5.0,-3.0
Teemu Pukki,FWD,Norwich,Southampton,90,0,0,2,0,2,1,0,0,0,0,0,5.0,2.2,17.8,30.0,False,1,2.0,3.0,-1.0
Teemu Pukki,FWD,Norwich,Brentford,90,1,0,3,0,33,0,0,0,0,0,0,11.7,45.4,10.8,61.0,True,8,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,Chelsea,90,1,0,3,0,26,0,0,0,0,0,0,6.2,32.0,1.2,29.0,True,7,2.0,4.0,-2.0
Teemu Pukki,FWD,Norwich,Leeds,90,0,1,2,0,16,0,0,0,0,0,0,8.3,24.8,17.4,41.0,False,5,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,Brighton,90,0,0,0,1,9,0,0,0,0,0,0,2.2,4.4,10.8,7.0,False,2,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,Burnley,88,1,0,0,1,38,0,0,0,0,0,0,16.4,41.6,31.2,91.0,True,9,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,Man Utd,90,1,1,3,0,38,0,0,0,0,0,0,12.5,54.4,22.5,48.0,False,9,2.0,4.0,-2.0
Teemu Pukki,FWD,Norwich,Newcastle,90,0,0,3,0,3,0,0,0,0,0,0,2.6,2.6,11.2,12.0,True,2,2.0,3.0,-1.0
Teemu Pukki,FWD,Norwich,Aston Villa,90,0,0,2,0,3,0,0,0,0,0,0,2.1,1.2,13.3,6.0,False,2,2.0,2.0,0.0
Teemu Pukki,FWD,Norwich,West Ham,90,0,0,4,0,-1,0,0,0,0,0,0,2.6,0.4,3.5,22.0,True,2,2.0,3.0,-1.0
Teemu Pukki,FWD,Norwich,Leicester,90,0,0,3,0,1,0,0,0,0,0,0,4.6,4.4,14.2,27.0,False,2,2.0,3.0,-1.0
Teemu Pukki,FWD,Norwich,Wolves,90,1,0,1,0,21,0,0,0,0,0,0,10.5,38.4,1.2,65.0,False,8,2.0,3.0,-1.0
Teemu Pukki,FWD,Norwich,Spurs,90,0,0,5,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2,2.0,4.0,-2.0
