name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Ivan Toney,FWD,Brentford,Arsenal,90,0,0,0,1,4,0,0,0,0,0,0,2.6,6.2,15.8,4.0,True,2021-08-13T19:00:00Z,2
Ivan Toney,FWD,Brentford,Everton,90,0,0,0,1,5,0,0,0,0,0,0,7.2,4.2,1.4,66.0,False,2021-08-21T14:00:00Z,2
Ivan Toney,FWD,Brentford,Aston Villa,90,1,0,1,0,22,1,0,0,0,0,0,7.9,31.2,15.1,33.0,False,2021-08-28T14:00:00Z,6
Ivan Toney,FWD,Brentford,Burnley,90,0,0,1,0,15,0,0,0,0,0,0,5.5,8.2,36.8,10.0,True,2021-09-11T14:00:00Z,2
Ivan Toney,FWD,Brentford,Wolves,90,1,1,0,1,46,0,0,0,0,0,0,11.3,54.8,28.3,30.0,False,2021-09-18T11:30:00Z,12
Ivan Toney,FWD,Brentford,Liverpool,90,0,1,3,0,19,0,0,0,0,0,0,7.5,21.6,26.3,27.0,True,2021-09-25T16:30:00Z,5
Ivan Toney,FWD,Brentford,West Ham,90,0,0,1,0,8,0,0,0,0,0,0,6.4,15.8,28.7,19.0,False,2021-10-03T13:00:00Z,2
Ivan Toney,FWD,Brentford,Crystal Palace,90,0,0,1,0,4,0,0,0,0,0,0,5.3,12.8,1.5,39.0,True,2021-10-16T16:30:00Z,2
Ivan Toney,FWD,Brentford,Leicester,90,0,0,2,0,3,0,0,0,0,0,0,9.3,16.8,32.8,43.0,True,2021-10-24T13:00:00Z,2
Ivan Toney,FWD,Brentford,Chelsea,90,0,0,3,0,0,0,0,0,0,0,0,4.3,0.0,0.4,43.0,False,2021-10-30T14:00:00Z,2
Ivan Toney,FWD,Brentford,Sheffield Utd,90,0,0,2,0,2,1,0,0,0,0,0,3.4,2.6,3.4,28.0,True,2021-11-06T15:00:00Z,1
Ivan Toney,FWD,Brentford,Newcastle,90,1,0,3,0,22,0,0,0,0,0,0,10.2,44.4,11.4,46.0,False,2021-11-20T15:00:00Z,6
Ivan Toney,FWD,Brentford,Fulham,90,1,0,0,1,36,0,0,0,0,0,0,7.3,50.0,6.2,17.0,True,2021-11-28T14:00:00Z,9
Ivan Toney,FWD,Brentford,Spurs,90,0,0,2,0,5,0,0,0,0,0,0,8.0,11.8,12.0,56.0,False,2021-12-02T19:30:00Z,2
Ivan Toney,FWD,Brentford,Leeds,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2021-12-05T14:00:00Z,0
Ivan Toney,FWD,Brentford,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2021-12-10T20:00:00Z,0
Ivan Toney,FWD,Brentford,Burnley,90,0,0,2,0,5,1,0,0,0,0,0,8.2,11.2,34.8,36.0,False,2021-12-26T20:00:00Z,1
Ivan Toney,FWD,Brentford,Man City,90,0,0,1,0,9,0,0,0,0,0,0,1.5,11.6,1.2,2.0,True,2021-12-29T20:15:00Z,2
Ivan Toney,FWD,Brentford,Aston Villa,90,0,0,1,0,1,1,0,0,0,0,0,1.6,0.0,13.2,5.0,True,2022-01-02T14:00:00Z,1
Ivan Toney,FWD,Brentford,Southampton,90,0,0,4,0,-4,1,0,0,0,0,0,6.3,1.2,2.4,59.0,False,2022-01-11T19:45:00Z,1
Ivan Toney,FWD,Brentford,Liverpool,90,0,0,3,0,5,0,0,0,0,0,0,6.0,14.4,7.2,38.0,False,2022-01-16T14:00:00Z,2
Ivan Toney,FWD,Brentford,Man Utd,90,1,0,3,0,34,0,0,0,0,0,0,16.3,47.0,32.3,84.0,True,2022-01-19T20:00:00Z,8
Ivan Toney,FWD,Brentford,Wolves,90,1,0,2,0,27,0,0,0,0,0,0,10.9,31.8,15.1,62.0,True,2022-01-22T15:00:00Z,7
Ivan Toney,FWD,Brentford,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-02-09T19:45:00Z,0
Ivan Toney,FWD,Brentford,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-02-12T15:00:00Z,0
Ivan Toney,FWD,Brentford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-02-19T15:00:00Z,0
Ivan Toney,FWD,Brentford,Newcastle,28,0,0,0,0,10,0,0,0,0,0,0,3.7,7.4,11.5,18.0,True,2022-02-26T15:00:00Z,1
Ivan Toney,FWD,Brentford,Sheffield Utd,90,3,0,1,0,79,0,0,0,0,0,0,18.6,104.6,12.2,69.0,False,2022-03-05T15:00:00Z,17
Ivan Toney,FWD,Brentford,Chelsea,90,2,0,0,1,56,1,0,0,0,0,0,15.1,78.8,14.0,58.0,True,2022-03-12T15:00:00Z,12
Ivan Toney,FWD,Brentford,Leicester,90,0,0,2,0,5,0,0,0,0,0,0,5.4,0.6,15.3,38.0,False,2022-03-20T14:00:00Z,2
Ivan Toney,FWD,Brentford,Crystal Palace,90,0,1,1,0,10,0,0,0,0,0,0,12.5,22.8,20.8,81.0,False,2022-04-02T14:00:00Z,5
Ivan Toney,FWD,Brentford,West Ham,90,1,1,0,1,45,0,0,0,0,0,0,20.1,61.0,62.6,77.0,True,2022-04-10T13:00:00Z,12
Ivan Toney,FWD,Brentford,West Brom,90,0,0,1,0,-1,1,0,0,0,0,0,5.2,4.4,34.6,13.0,False,2022-04-16T14:00:00Z,1
Ivan Toney,FWD,Brentford,Spurs,90,0,0,0,1,1,0,0,0,0,0,0,7.5,2.6,12.9,59.0,True,2022-04-23T16:30:00Z,2
Ivan Toney,FWD,Brentford,Man Utd,90,0,0,3,0,3,0,0,0,0,0,0,5.6,9.2,16.0,31.0,False,2022-05-02T19:00:00Z,2
Ivan Toney,FWD,Brentford,Southampton,90,0,1,0,1,22,0,0,0,0,0,0,11.4,25.0,32.4,57.0,True,2022-05-07T14:00:00Z,5
Ivan Toney,FWD,Brentford,Fulham,90,0,0,2,0,3,0,0,0,0,0,0,5.3,3.8,13.4,36.0,False,2022-05-15T15:30:00Z,2
Ivan Toney,FWD,Brentford,Leeds,90,0,0,2,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-05-22T15:00:00Z,1
