name,position,team,opponent_team,minutes,goals_scored,assists,goals_conceded,clean_sheets,bps,yellow_cards,red_cards,own_goals,saves,penalties_missed,penalties_saved,ict_index,influence,creativity,threat,was_home,kickoff_time,total_points
Mohamed Salah,MID,Liverpool,Sheffield Utd,90,1,2,0,1,49,0,0,0,0,0,0,17.7,70.6,36.4,70.0,False,2021-08-14T16:30:00Z,17
Mohamed Salah,MID,Liverpool,Chelsea,90,0,0,0,1,5,0,0,0,0,0,0,11.1,6.4,26.1,78.0,True,2021-08-21T11:30:00Z,3
Mohamed Salah,MID,Liverpool,Crystal Palace,90,1,0,1,0,27,0,0,0,0,0,0,14.0,46.8,45.1,48.0,True,2021-08-28T16:30:00Z,10
Mohamed Salah,MID,Liverpool,Leeds,90,1,0,0,1,28,0,0,0,0,0,0,17.7,47.0,53.2,77.0,False,2021-09-12T15:30:00Z,8
Mohamed Salah,MID,Liverpool,Everton,90,1,1,0,1,29,1,0,0,0,0,0,19.7,53.0,28.9,115.0,True,2021-09-18T14:00:00Z,12
Mohamed Salah,MID,Liverpool,Brighton,90,1,0,3,0,19,0,0,0,0,0,0,9.8,36.8,14.5,47.0,False,2021-09-25T16:30:00Z,7
Mohamed Salah,MID,Liverpool,Man City,90,1,1,2,0,47,0,0,0,0,0,0,15.7,70.2,30.2,57.0,True,2021-10-03T15:30:00Z,13
Mohamed Salah,MID,Liverpool,West Brom,90,1,1,0,1,43,0,0,0,0,0,0,18.6,64.0,30.5,91.0,False,2021-10-16T11:30:00Z,13
Mohamed Salah,MID,Liverpool,Man Utd,90,3,1,0,1,76,0,0,0,0,0,0,24.5,121.2,33.3,90.0,False,2021-10-24T15:30:00Z,24
Mohamed Salah,MID,Liverpool,Burnley,90,0,1,2,0,25,0,0,0,0,0,0,10.4,27.6,25.1,51.0,True,2021-10-30T14:00:00Z,5
Mohamed Salah,MID,Liverpool,West Ham,90,0,1,3,0,16,0,0,0,0,0,0,8.3,19.6,25.2,38.0,False,2021-11-07T16:30:00Z,5
Mohamed Salah,MID,Liverpool,Arsenal,90,1,0,0,1,23,0,0,0,0,0,0,15.8,40.0,25.1,93.0,True,2021-11-20T17:30:00Z,8
Mohamed Salah,MID,Liverpool,Southampton,90,0,1,0,1,13,0,0,0,0,0,0,10.3,16.8,25.3,61.0,True,2021-11-27T15:00:00Z,6
Mohamed Salah,MID,Liverpool,Fulham,90,2,0,1,0,42,0,0,0,0,0,0,14.4,69.2,5.4,69.0,False,2021-12-01T20:15:00Z,15
Mohamed Salah,MID,Liverpool,Wolves,90,0,1,0,1,12,0,0,0,0,0,0,9.7,25.8,39.8,31.0,False,2021-12-04T15:00:00Z,6
Mohamed Salah,MID,Liverpool,Aston Villa,90,1,0,0,1,21,0,0,0,0,0,0,15.2,39.2,10.2,103.0,True,2021-12-11T15:00:00Z,8
Mohamed Salah,MID,Liverpool,Newcastle,73,1,0,1,0,23,0,0,0,0,0,0,10.5,31.2,20.2,54.0,True,2021-12-16T20:00:00Z,8
Mohamed Salah,MID,Liverpool,Spurs,90,0,0,2,0,8,0,0,0,0,0,0,8.6,10.4,35.3,40.0,False,2021-12-19T16:30:00Z,2
Mohamed Salah,MID,Liverpool,Leicester,90,0,0,1,0,-5,0,0,0,0,1,0,10.9,12.6,27.2,69.0,False,2021-12-28T20:00:00Z,0
Mohamed Salah,MID,Liverpool,Crystal Palace,90,1,0,2,0,25,0,0,0,0,0,0,14.0,46.0,28.5,65.0,False,2022-01-02T16:30:00Z,7
Mohamed Salah,MID,Liverpool,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-01-16T14:00:00Z,0
Mohamed Salah,MID,Liverpool,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-01-23T14:00:00Z,0
Mohamed Salah,MID,Liverpool,Leicester,30,0,0,0,0,0,0,0,0,0,0,0,10.3,11.6,12.8,79.0,True,2022-02-10T19:45:00Z,1
Mohamed Salah,MID,Liverpool,Chelsea,90,0,0,0,1,6,0,0,0,0,0,0,3.7,5.6,15.1,16.0,False,2022-02-13T14:00:00Z,3
Mohamed Salah,MID,Liverpool,Sheffield Utd,90,1,0,1,0,34,0,0,0,0,0,0,22.7,48.2,69.3,109.0,True,2022-02-19T15:00:00Z,10
Mohamed Salah,MID,Liverpool,Leeds,90,2,1,0,1,54,0,0,0,0,0,0,19.9,87.6,22.0,89.0,True,2022-02-23T19:45:00Z,18
Mohamed Salah,MID,Liverpool,West Ham,78,0,0,0,1,0,0,0,0,0,0,0,9.2,9.6,21.2,61.0,True,2022-03-05T17:30:00Z,3
Mohamed Salah,MID,Liverpool,Burnley,64,1,0,0,1,26,0,0,0,0,0,0,15.3,38.8,12.4,102.0,False,2022-03-12T12:30:00Z,9
Mohamed Salah,MID,Liverpool,Arsenal,34,0,0,0,0,-2,0,0,0,0,0,0,4.3,0.0,2.7,41.0,False,2022-03-16T20:15:00Z,1
Mohamed Salah,MID,Liverpool,West Brom,68,0,0,0,1,-2,0,0,0,0,0,0,4.9,2.0,15.0,32.0,True,2022-04-02T11:30:00Z,3
Mohamed Salah,MID,Liverpool,Man City,90,0,1,2,0,21,0,0,0,0,0,0,7.6,28.8,39.5,8.0,False,2022-04-10T15:30:00Z,5
Mohamed Salah,MID,Liverpool,Man Utd,90,2,1,0,1,49,0,0,0,0,0,0,17.9,84.8,20.1,74.0,True,2022-04-19T19:00:00Z,19
Mohamed Salah,MID,Liverpool,Fulham,90,0,1,0,1,15,0,0,0,0,0,0,7.8,21.0,30.9,26.0,True,2022-04-24T15:30:00Z,6
Mohamed Salah,MID,Liverpool,Newcastle,21,0,0,0,0,1,0,0,0,0,0,0,3.8,3.6,11.8,23.0,False,2022-04-30T11:30:00Z,1
Mohamed Salah,MID,Liverpool,Spurs,90,0,0,1,0,4,0,0,0,0,0,0,8.8,5.6,24.8,58.0,True,2022-05-07T18:45:00Z,2
Mohamed Salah,MID,Liverpool,Aston Villa,18,0,0,0,0,2,0,0,0,0,0,0,3.9,2.2,11.0,26.0,False,2022-05-10T19:00:00Z,1
Mohamed Salah,MID,Liverpool,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,2022-05-17T18:45:00Z,0
Mohamed Salah,MID,Liverpool,Wolves,32,1,0,0,0,22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,True,2022-05-22T15:00:00Z,6
